0.74986,51.54814,"SO","[227]"
-3.02278,50.91333,"NO","[346-]"
-0.17764,51.40772,"N","[585]"
-0.50492,50.95742,"east-bound","[1033]"
-4.43861,57.59908,"at the level crossing","[1157]"
-0.43417,51.65022,"SW","[1389-]"
-1.18464,53.00872,"south-bound","[1428]"
-1.17900,52.99703,"south-bound","[1001428001]"
-0.23519,51.34519,"turnable","[1711]"
-2.21883,53.50222,"N","[1748]"
-2.58986,54.19722,"W","[3640]"
-1.31078,53.07094,"[4034]","[4034]"
-2.27586,52.34403,"northbound","[4077]"
0.02653,51.59650,"East-bound","[4369]"
-0.38967,51.05792,"east-bound","[4637]"
0.51492,51.38236,"O","[5582]"
-0.13850,51.53889,"[5654]","[5654]"
-0.04106,51.44889,"S","[5849]"
-1.98517,50.74453,"S","[5892]"
-4.16694,50.38942,"S","[5896]"
-4.15781,50.38533,"W","[5907]"
-4.15714,50.38533,"N","[5908]"
-4.14603,50.39453,"S","[5916]"
-4.13206,50.37131,"W","[5917]"
-4.13053,50.39025,"N, auch speed (?)","[5918]"
-3.59306,50.52522,"[5919]","[5919]"
-3.56600,50.43189,"N","[5922-]"
-3.53994,50.47075,"S","[5923-]"
-3.53844,50.70481,"S","[5924]"
-0.49944,51.58208,"S","[6132]"
-0.16183,51.41667,"S","[6275]"
-3.53725,50.47719,"southbound","[6307]"
-0.13944,52.74556,"both-way","[6692]"
-3.52925,50.71978,"N","[6840]"
-1.40058,50.86147,"[6877]","[6877]"
-3.51664,50.72364,"O","[6923]"
-3.50814,50.70839,"S","[6932]"
-3.98978,51.65303,"N","[7104]"
-0.17631,51.40431,"S","[7362]"
-4.68889,57.61450,"at the level crossing","[7464]"
-2.24919,51.85494,"[7471]","[7471]"
-2.25389,51.84861,"[1007471001]","[1007471001]"
-1.86819,50.73033,"O","[7529]"
-3.21589,51.49233,"O","[7530]"
-3.21531,51.49275,"W","[7643]"
-3.21536,51.49236,"W","[7644]"
0.14969,52.21278,"db","[8023]"
-2.21953,53.41056,"junction with Parrs Wood Lane, northbound","[8661]"
-3.18867,51.49275,"SE","[8852]"
-3.19253,51.49756,"S","[8862]"
-3.16600,51.48092,"W","[8874]"
-3.02992,51.69806,"O","[8877]"
-2.98108,51.58653,"S","[8878]"
-0.09472,51.56919,"Near Spring Park Drive, Southbound","[8898]"
-2.58439,51.45964,"NO, 2x","[8942]"
-3.03292,53.38500,"N","[8952]"
-3.03019,53.38800,"NO","[8956]"
-2.98853,53.41292,"[8963]","[8963]"
-2.98519,53.40786,"[8967]","[8967]"
-2.97944,53.33731,"S","[8969]"
-2.92494,53.36739,"SO, also speed (?)","[8970]"
-2.90531,53.20053,"NO","[8973]"
-2.90375,53.35561,"SO","[8992]"
-2.89592,53.19856,"N","[9008]"
-2.98617,53.45981,"O","[9043]"
-2.34761,53.40603,"N","[9053]"
-2.63122,53.54125,"N","[9087]"
0.46158,51.57242,"W","[9088]"
-2.62850,53.54394,"N","[9090]"
-2.53464,53.48275,"N","[9102]"
-2.52256,53.50439,"S","[9350]"
-2.66000,53.77058,"[9544]","[9544]"
-2.71342,53.77372,"[9572-]","[9572-]"
-2.48711,53.52561,"SW","[9618]"
-2.45753,53.58006,"W","[9630]"
-2.42469,53.57481,"O","[9684]"
-2.41606,53.57769,"SW","[9700]"
-2.32636,53.42458,"S","[9730]"
-2.31864,53.43131,"[9737]","[9737]"
-2.31528,53.45047,"O","[9744]"
-2.31383,53.44603,"S","[9800]"
-2.30742,53.44575,"N","[9806]"
-2.30650,53.44586,"W","[9811]"
-2.28614,53.53400,"S","[9819]"
-2.28306,53.47956,"NW","[9907]"
0.03822,51.56044,"[9933]","[9933]"
-2.28264,53.46342,"NO","[9953]"
-2.27644,53.52381,"S","[10001]"
-2.27403,53.45514,"S","[10008]"
-2.24006,53.47344,"SO","[10034]"
-2.29892,53.58333,"S","[10044]"
-2.29883,53.59044,"W","[10045]"
-2.29342,53.54769,"N","[10055]"
-2.28433,53.59294,"W","[10072]"
-4.30356,55.88258,"SE","[10083]"
-4.26372,55.85250,"S","[10103]"
-4.25853,55.85386,"S","[10112]"
-4.24997,55.85575,"S","[10116]"
-4.24947,55.85083,"SO","[10119-]"
-4.24886,55.83539,"N","[10120]"
-4.21947,55.84436,"NW","[10137-]"
-4.21492,55.85439,"Eingepackt 7/2019","[10146-]"
-4.17756,55.86303,"O, eingepackt","[10147-]"
-4.16014,55.83614,"W","[10160]"
-4.13181,55.86572,"W, eingepackt","[10166-]"
-3.29225,55.93808,"N, eingepackt, abgebaut (?)","[10169-]"
-3.28475,55.94294,"W","[10170]"
-3.27397,55.93194,"N","[10171-]"
-3.27369,55.93206,"W","[10172-]"
-3.25069,55.94483,"[10176]","[10176]"
-3.23997,55.92022,"[10180-]","[10180-]"
-3.23958,55.93653,"E, also red light (?)","[10183-]"
-3.22406,55.92975,"O","[10189-]"
-3.18078,55.94061,"N","[10191]"
-3.15242,55.91714,"N (?)","[10197]"
-3.13372,55.90619,"S","[10199-]"
-2.08453,50.71978,"S","[10201]"
-1.82897,50.74758,"N","[10202]"
-2.07147,51.90225,"O","[10203]"
-1.32328,51.98231,"S","[10205]"
-1.28417,51.79300,"S","[10206]"
-0.65214,50.79239,"O","[10207]"
-0.37386,50.82603,"Northbound","[10210]"
-0.96961,51.44997,"W","[10212]"
-0.96964,51.44975,"N,","[10213]"
-0.96717,51.45067,"S","[10214]"
-0.96667,51.45050,"W","[10215]"
-1.23811,51.75125,"S","[10217]"
-1.22486,51.90758,"S","[10218]"
-0.58050,51.50836,"S","[10221]"
-0.42586,51.49869,"N","[10222]"
-0.28081,51.41303,"O","[10223]"
-0.26039,51.47978,"[10228]","[10228]"
-0.30072,51.53992,"S","[10229]"
-0.29200,51.51125,"N","[10230]"
-0.29139,51.51717,"S","[10231]"
-0.47525,51.73981,"[10233]","[10233]"
-0.39275,51.59881,"[10234]","[10234]"
-2.15961,52.47794,"SO","[10235]"
-2.15306,52.46789,"NW","[10238]"
-1.77611,52.42078,"W","[10241]"
-2.11589,52.56669,"N","[10245]"
-2.09056,52.50703,"SW","[10247]"
-1.89633,52.49250,"O","[10248]"
-1.89481,52.49217,"W","[10249]"
-1.83664,52.52708,"NO","[10250]"
-1.47486,52.47550,"N","[10253]"
-1.28333,52.36544,"[10255]","[10255]"
-2.15375,53.40119,"N","[10256]"
-2.14656,53.39308,"SO","[10257]"
-2.11353,53.36747,"N","[10260]"
-2.11347,53.36783,"S","[10261]"
-2.11300,53.37528,"NW","[10262]"
-2.14569,53.54628,"S","[10265]"
-2.12883,53.54308,"S","[10266]"
-2.11544,53.53419,"[10267]","[10267]"
-2.11497,53.46717,"N","[10268]"
-2.10358,53.49886,"S","[10269]"
-2.09342,53.47906,"N","[10270]"
-2.07647,53.45233,"S","[10271]"
-1.77422,53.64422,"O","[10272]"
-1.32503,53.36211,"N","[10274]"
-1.73703,53.68050,"NW","[10276]"
-1.54350,53.79131,"S","[10278]"
-1.53750,53.81139,"N","[10279]"
-1.53647,53.80719,"N","[10280]"
-0.89736,52.23361,"N","[10284]"
-1.15900,52.61900,"S","[10286]"
-1.22508,52.99044,"NO, wieder aufgebaut 11.2022","[10290]"
-1.19542,52.98214,"S","[10291]"
-1.17567,52.97953,"NO","[10292]"
-1.17361,52.98067,"S","[10293]"
-1.13944,52.99322,"N","[10295]"
-0.17728,50.83892,"W","[10298]"
-0.17181,50.83892,"O","[10299]"
-0.15128,50.84339,"S","[10301]"
0.46883,50.84561,"[10302]","[10302]"
0.60953,50.87444,"jw Old London Road","[10303]"
-0.24397,51.39919,"N","[10304]"
-0.17239,51.42375,"S","[10306]"
-0.16817,51.42792,"N","[10307]"
-0.16783,51.42822,"S","[10308]"
-0.16242,51.43406,"N","[10309]"
-0.24358,51.46522,"W","[10310]"
-0.21261,51.49061,"W","[10311]"
-0.20636,51.49094,"W","[10312]"
-0.20083,51.49258,"NO","[10313]"
-0.25922,51.54142,"W","[10314]"
-0.20989,51.55214,"N","[10317]"
-0.20686,51.54994,"N","[10318]"
-0.18658,51.46200,"O","[10319]"
-0.14928,51.48578,"[10320]","[10320]"
-0.14608,51.45436,"S","[10321]"
